,ID,pred,method,target,run
246,GSM207951,0.18476911976911975,RandomForest,Genotype: primary tumor,0
247,GSM207951,0.24253750609548044,MLNN,Genotype: primary tumor,0
248,GSM207951,0.2516915231497181,RVM,Genotype: primary tumor,0
249,GSM207951,0.0107553520316376,NaiveBayes,Genotype: primary tumor,0
250,GSM207951,0.07926979321773643,GBM,Genotype: primary tumor,0
251,GSM207951,0.1786458045244217,DNN,Genotype: primary tumor,0
252,GSM207951,0.06988172579208655,SVM,Genotype: primary tumor,0
253,GSM207952,0.10517990589141846,XGB,Genotype: primary tumor,0
254,GSM207952,0.1033042544783608,SVM,Genotype: primary tumor,0
255,GSM207952,0.33308635508896406,ExtraTrees,Genotype: primary tumor,0
256,GSM207952,0.46047508425991346,AdaBoost,Genotype: primary tumor,0
257,GSM207952,0.1983600288600288,RandomForest,Genotype: primary tumor,0
258,GSM207952,0.2834919855944953,RVM,Genotype: primary tumor,0
259,GSM207952,0.24269386157912837,MLNN,Genotype: primary tumor,0
260,GSM207952,0.02317007690964495,NaiveBayes,Genotype: primary tumor,0
261,GSM207952,0.07926979321773643,GBM,Genotype: primary tumor,0
262,GSM207952,0.08038887480052602,LR,Genotype: primary tumor,0
263,GSM207952,0.18031607568264008,DNN,Genotype: primary tumor,0
264,GSM207953,0.44565465462578,AdaBoost,Genotype: primary tumor,0
265,GSM207953,0.026074697081553702,LR,Genotype: primary tumor,0
266,GSM207953,0.053419459611177444,XGB,Genotype: primary tumor,0
267,GSM207953,0.019904761904761904,RandomForest,Genotype: primary tumor,0
268,GSM207953,0.17720158398151398,DNN,Genotype: primary tumor,0
269,GSM207953,0.242405338976022,MLNN,Genotype: primary tumor,0
270,GSM207953,0.2897179104788073,ExtraTrees,Genotype: primary tumor,0
271,GSM207953,0.2051766671055778,RVM,Genotype: primary tumor,0
272,GSM207953,0.004650696607253949,GBM,Genotype: primary tumor,0
273,GSM207953,0.0034317241658690157,NaiveBayes,Genotype: primary tumor,0
274,GSM207953,0.03990872965972726,SVM,Genotype: primary tumor,0
275,GSM207954,0.37166133522987366,XGB,Genotype: primary tumor,0
276,GSM207954,0.5842471149242257,LR,Genotype: primary tumor,0
277,GSM207954,0.36204528670287867,GBM,Genotype: primary tumor,0
278,GSM207954,0.5771501728883244,SVM,Genotype: primary tumor,0
279,GSM207954,0.49187873237873236,RandomForest,Genotype: primary tumor,0
280,GSM207954,0.3222092092037201,DNN,Genotype: primary tumor,0
281,GSM207954,0.4673057653961997,RVM,Genotype: primary tumor,0
282,GSM207954,0.5018492094174313,ExtraTrees,Genotype: primary tumor,0
283,GSM207954,0.27878918527723845,MLNN,Genotype: primary tumor,0
284,GSM207954,0.6622293060167261,NaiveBayes,Genotype: primary tumor,0
285,GSM207954,0.46806599374815366,AdaBoost,Genotype: primary tumor,0
286,GSM207955,0.24326526732454465,MLNN,Genotype: primary tumor,0
287,GSM207955,0.18618854880332947,DNN,Genotype: primary tumor,0
288,GSM207955,0.10631501831501831,RandomForest,Genotype: primary tumor,0
289,GSM207955,0.10251328349113464,XGB,Genotype: primary tumor,0
290,GSM207955,0.33443678243939146,ExtraTrees,Genotype: primary tumor,0
291,GSM207955,0.16671539550389233,LR,Genotype: primary tumor,0
292,GSM207955,0.0452634665709195,GBM,Genotype: primary tumor,0
293,GSM207955,0.19397136470890863,SVM,Genotype: primary tumor,0
294,GSM207955,0.4605196308703467,AdaBoost,Genotype: primary tumor,0
295,GSM207955,0.3382916686736278,RVM,Genotype: primary tumor,0
296,GSM207955,0.08252845845204165,NaiveBayes,Genotype: primary tumor,0
297,GSM207956,0.20739847421646118,DNN,Genotype: primary tumor,0
298,GSM207956,0.3398123062490788,LR,Genotype: primary tumor,0
299,GSM207956,0.3600049288935652,SVM,Genotype: primary tumor,0
300,GSM207956,0.4605196308703467,AdaBoost,Genotype: primary tumor,0
301,GSM207956,0.10417216117216117,RandomForest,Genotype: primary tumor,0
302,GSM207956,0.10251328349113464,XGB,Genotype: primary tumor,0
303,GSM207956,0.4008328034794083,RVM,Genotype: primary tumor,0
304,GSM207956,0.24570281030494276,MLNN,Genotype: primary tumor,0
305,GSM207956,0.28809057893378726,NaiveBayes,Genotype: primary tumor,0
306,GSM207956,0.41708791873678586,ExtraTrees,Genotype: primary tumor,0
307,GSM207956,0.06786233643367452,GBM,Genotype: primary tumor,0
308,GSM207957,0.24262377028875678,MLNN,Genotype: primary tumor,0
309,GSM207957,0.07926979321773643,GBM,Genotype: primary tumor,0
310,GSM207957,0.08885190167976395,SVM,Genotype: primary tumor,0
311,GSM207957,0.06758164094683634,LR,Genotype: primary tumor,0
